[0.005s][info][class,load] opened: /Users/jasper/Library/Caches/JetBrains/IntelliJIdea2026.1/captureAgent/debugger-agent.jar
[0.009s][info][class,load] java.lang.Object source: shared objects file
[0.010s][info][class,load] java.io.Serializable source: shared objects file
[0.010s][info][class,load] java.lang.Comparable source: shared objects file
[0.010s][info][class,load] java.lang.CharSequence source: shared objects file
[0.010s][info][class,load] java.lang.constant.Constable source: shared objects file
[0.010s][info][class,load] java.lang.constant.ConstantDesc source: shared objects file
[0.010s][info][class,load] java.lang.String source: shared objects file
[0.010s][info][class,load] java.lang.reflect.AnnotatedElement source: shared objects file
[0.010s][info][class,load] java.lang.reflect.GenericDeclaration source: shared objects file
[0.010s][info][class,load] java.lang.reflect.Type source: shared objects file
[0.010s][info][class,load] java.lang.invoke.TypeDescriptor source: shared objects file
[0.010s][info][class,load] java.lang.invoke.TypeDescriptor$OfField source: shared objects file
[0.010s][info][class,load] java.lang.Class source: shared objects file
[0.010s][info][class,load] java.lang.Cloneable source: shared objects file
[0.010s][info][class,load] java.lang.ClassLoader source: shared objects file
[0.010s][info][class,load] java.lang.System source: shared objects file
[0.010s][info][class,load] java.lang.Throwable source: shared objects file
[0.010s][info][class,load] java.lang.Error source: shared objects file
[0.010s][info][class,load] java.lang.Exception source: shared objects file
[0.010s][info][class,load] java.lang.RuntimeException source: shared objects file
[0.010s][info][class,load] java.lang.SecurityManager source: shared objects file
[0.010s][info][class,load] java.security.ProtectionDomain source: shared objects file
[0.010s][info][class,load] java.security.AccessControlContext source: shared objects file
[0.010s][info][class,load] java.security.AccessController source: shared objects file
[0.010s][info][class,load] java.security.SecureClassLoader source: shared objects file
[0.010s][info][class,load] java.lang.ReflectiveOperationException source: shared objects file
[0.010s][info][class,load] java.lang.ClassNotFoundException source: shared objects file
[0.010s][info][class,load] java.lang.Record source: shared objects file
[0.010s][info][class,load] java.lang.LinkageError source: shared objects file
[0.010s][info][class,load] java.lang.NoClassDefFoundError source: shared objects file
[0.010s][info][class,load] java.lang.ClassCastException source: shared objects file
[0.010s][info][class,load] java.lang.ArrayStoreException source: shared objects file
[0.010s][info][class,load] java.lang.VirtualMachineError source: shared objects file
[0.010s][info][class,load] java.lang.InternalError source: shared objects file
[0.010s][info][class,load] java.lang.OutOfMemoryError source: shared objects file
[0.010s][info][class,load] java.lang.StackOverflowError source: shared objects file
[0.010s][info][class,load] java.lang.IllegalMonitorStateException source: shared objects file
[0.010s][info][class,load] java.lang.ref.Reference source: shared objects file
[0.010s][info][class,load] java.lang.ref.SoftReference source: shared objects file
[0.010s][info][class,load] java.lang.ref.WeakReference source: shared objects file
[0.010s][info][class,load] java.lang.ref.FinalReference source: shared objects file
[0.010s][info][class,load] java.lang.ref.PhantomReference source: shared objects file
[0.010s][info][class,load] java.lang.ref.Finalizer source: shared objects file
[0.010s][info][class,load] java.lang.Runnable source: shared objects file
[0.010s][info][class,load] java.lang.Thread source: shared objects file
[0.010s][info][class,load] java.lang.Thread$FieldHolder source: shared objects file
[0.010s][info][class,load] java.lang.Thread$Constants source: shared objects file
[0.010s][info][class,load] java.lang.Thread$UncaughtExceptionHandler source: shared objects file
[0.010s][info][class,load] java.lang.ThreadGroup source: shared objects file
[0.010s][info][class,load] java.lang.BaseVirtualThread source: shared objects file
[0.010s][info][class,load] java.lang.VirtualThread source: shared objects file
[0.010s][info][class,load] java.lang.ThreadBuilders$BoundVirtualThread source: shared objects file
[0.010s][info][class,load] java.util.Dictionary source: shared objects file
[0.010s][info][class,load] java.util.Map source: shared objects file
[0.010s][info][class,load] java.util.Hashtable source: shared objects file
[0.010s][info][class,load] java.util.Properties source: shared objects file
[0.010s][info][class,load] java.lang.Module source: shared objects file
[0.010s][info][class,load] java.lang.reflect.AccessibleObject source: shared objects file
[0.010s][info][class,load] java.lang.reflect.Member source: shared objects file
[0.010s][info][class,load] java.lang.reflect.Field source: shared objects file
[0.010s][info][class,load] java.lang.reflect.Parameter source: shared objects file
[0.010s][info][class,load] java.lang.reflect.Executable source: shared objects file
[0.010s][info][class,load] java.lang.reflect.Method source: shared objects file
[0.010s][info][class,load] java.lang.reflect.Constructor source: shared objects file
[0.010s][info][class,load] jdk.internal.vm.ContinuationScope source: shared objects file
[0.010s][info][class,load] jdk.internal.vm.Continuation source: shared objects file
[0.010s][info][class,load] jdk.internal.vm.StackChunk source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.MagicAccessorImpl source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.MethodAccessor source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.MethodAccessorImpl source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.ConstructorAccessor source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.ConstructorAccessorImpl source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.DelegatingClassLoader source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.ConstantPool source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.FieldAccessor source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.FieldAccessorImpl source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.UnsafeFieldAccessorImpl source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.UnsafeStaticFieldAccessorImpl source: shared objects file
[0.010s][info][class,load] java.lang.annotation.Annotation source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.CallerSensitive source: shared objects file
[0.010s][info][class,load] jdk.internal.reflect.NativeConstructorAccessorImpl source: shared objects file
[0.010s][info][class,load] java.lang.invoke.MethodHandle source: shared objects file
[0.010s][info][class,load] java.lang.invoke.DirectMethodHandle source: shared objects file
[0.010s][info][class,load] java.lang.invoke.VarHandle source: shared objects file
[0.010s][info][class,load] java.lang.invoke.MemberName source: shared objects file
[0.010s][info][class,load] java.lang.invoke.ResolvedMethodName source: shared objects file
[0.010s][info][class,load] java.lang.invoke.MethodHandleNatives source: shared objects file
[0.010s][info][class,load] java.lang.invoke.LambdaForm source: shared objects file
[0.010s][info][class,load] java.lang.invoke.TypeDescriptor$OfMethod source: shared objects file
[0.010s][info][class,load] java.lang.invoke.MethodType source: shared objects file
[0.010s][info][class,load] java.lang.BootstrapMethodError source: shared objects file
[0.010s][info][class,load] java.lang.invoke.CallSite source: shared objects file
[0.010s][info][class,load] jdk.internal.foreign.abi.NativeEntryPoint source: shared objects file
[0.010s][info][class,load] jdk.internal.foreign.abi.ABIDescriptor source: shared objects file
[0.010s][info][class,load] jdk.internal.foreign.abi.VMStorage source: shared objects file
[0.010s][info][class,load] jdk.internal.foreign.abi.UpcallLinker$CallRegs source: shared objects file
[0.010s][info][class,load] java.lang.invoke.MethodHandleNatives$CallSiteContext source: shared objects file
[0.010s][info][class,load] java.lang.invoke.ConstantCallSite source: shared objects file
[0.010s][info][class,load] java.lang.invoke.MutableCallSite source: shared objects file
[0.010s][info][class,load] java.lang.invoke.VolatileCallSite source: shared objects file
[0.010s][info][class,load] java.lang.AssertionStatusDirectives source: shared objects file
[0.010s][info][class,load] java.lang.Appendable source: shared objects file
[0.010s][info][class,load] java.lang.AbstractStringBuilder source: shared objects file
[0.010s][info][class,load] java.lang.StringBuffer source: shared objects file
[0.010s][info][class,load] java.lang.StringBuilder source: shared objects file
[0.010s][info][class,load] jdk.internal.misc.UnsafeConstants source: shared objects file
[0.010s][info][class,load] jdk.internal.misc.Unsafe source: shared objects file
[0.010s][info][class,load] jdk.internal.module.Modules source: shared objects file
[0.010s][info][class,load] java.lang.AutoCloseable source: shared objects file
[0.010s][info][class,load] java.io.Closeable source: shared objects file
[0.010s][info][class,load] java.io.InputStream source: shared objects file
[0.010s][info][class,load] java.io.ByteArrayInputStream source: shared objects file
[0.010s][info][class,load] java.net.URL source: shared objects file
[0.010s][info][class,load] java.net.URLClassLoader source: shared objects file
[0.010s][info][class,load] java.lang.Enum source: shared objects file
[0.010s][info][class,load] java.util.jar.Manifest source: shared objects file
